location:x, location:y, action, reward
-6.485, 7.212, 3.000, -0.546
-6.584, 7.226, 3.000, -0.549
-6.683, 7.240, 3.000, -0.551
-6.782, 7.254, 3.000, -0.554
-6.881, 7.268, 3.000, -0.556
-6.980, 7.282, 3.000, -0.559
-7.079, 7.296, 3.000, -0.562
-7.178, 7.310, 3.000, -0.564
-7.277, 7.325, 3.000, -0.567
-7.376, 7.339, 3.000, -0.569
-7.475, 7.353, 3.000, -0.572
-7.574, 7.367, 3.000, -0.574
-7.673, 7.381, 3.000, -0.576
-7.772, 7.395, 3.000, -0.579
-7.871, 7.409, 3.000, -0.581
-7.970, 7.423, 3.000, -0.583
-8.069, 7.437, 3.000, -0.586
-8.168, 7.452, 3.000, -0.588
-8.267, 7.466, 3.000, -0.590
-8.366, 7.480, 3.000, -0.593
-8.465, 7.494, 3.000, -0.595
-8.564, 7.508, 3.000, -0.597
-8.663, 7.522, 3.000, -32.691
-8.762, 7.536, 3.000, -0.565
-8.861, 7.550, 3.000, -0.567
-8.960, 7.564, 3.000, -0.569
-9.059, 7.579, 3.000, -0.572
-9.158, 7.593, 3.000, -0.574
-9.257, 7.607, 3.000, -0.576
-9.356, 7.621, 3.000, -0.578
-9.455, 7.635, 3.000, -0.581
-9.554, 7.649, 3.000, -0.583
-9.653, 7.663, 3.000, -0.585
-9.752, 7.677, 3.000, -0.587
-9.851, 7.691, 3.000, -244.027
-9.950, 7.706, 3.000, -0.277
-9.851, 7.691, 3.000, -0.280
-9.950, 7.706, 3.000, -0.277
-9.876, 7.638, 3.000, -0.280
-9.975, 7.652, 3.000, -0.279
-9.984, 7.752, 3.000, -224.939
-9.894, 7.796, 3.000, -7.867
